약물번호,한글명,영문명,분류/구분,이화학정보,남용정보,약물정보
P106,브로마제팜,Bromazepam,향정신성의약품,"체내에 신속히 흡수되며 생체내 이용률은 84%정도 이다. 반감기는 8-20 시간으로 혈중 최고 농도 도달시간은 1-2 시간이며, 약 70%가 대사체로서 뇨로되며, 2-3%는 미변화체로 배설되고 2-6%는 대변으로 배설된다.","진정, 졸음, 남성에서 성장호르몬 분비 증가, 안통, 시각장애, 저혈압, 어지러움, 운동실조, 학습능력 장애, EEG 변화, 실조성반응, 급성 금단 증후군",
P105,암페프라몬,Amfepramone,향정신성의약품,,,
P104,알프라졸람,Alprazolam,향정신성의약품,,,
P103,플루니트라제팜,Flunitrazepam,향정신성의약품,위장관으로부터 잘 흡수되며 생체내 이용률은 80-90%이다. 단백결합은 80%정도로 간에서 cytochrome P-450 효소계를 통해 많은 양이 대사된다.  반감기는 20-30 시간이며 주로 대사체로서 뇨로 배설되며 약 10%는 대변으로 배설된다.,"혈전정맥염, 딸꾹질, 근신경 및 골격계 피로감, 탈력감, 심계항진, 저혈압, 오심, 구강건조증, 설사, 졸음, 현훈, 운동실조, 두통, 피부 발진, 백혈구감소증, 빈혈, 혈소판감소증, 간기능검사 수치 상승, 귀 이명, 뇨실금, 배뇨곤란, 빈뇨, 구토, 위부 불쾌감, 식욕부진, 연변, 변비, 복통, 혀 거칠어짐, 가슴앓이, 타액분비 증가, 쓴 맛, 보행실조, 구음장애, 마비감, 동작완만, 기억력 저하, 명정감, 진전, 악몽, 기침, 호흡억제, 발한, 코골음, 안면홍조, 의존성, 금단증상","Rohypnol 5milligram 과 1milligram 은 직사각형 정제와 마찬가지로 1milliliter 주사용액에 1milligram으로 공급되고 있다. Hoffman-La Roche 은 1996년부터 1997년까지 1회에 2milligram 정제를 없애고 현재 둥근, 흰, 1milligram, 올리브 그린, 직사각형 정제숫자 542을 새긴 것을 공급하고 있다. 이 새로운 정제는 회사에 의하면 만약 정제를 음료에 넣으면 볼 수 있는 색깔이 있다고 한다"
P102,에프타조신,Eptazocine,향정신성의약품,,,
P101,부프레노르핀,Buprenorpine,향정신성의약품,,,
P100,브롬바레릴우레아,Bromvalerylurea,향정신성의약품,,,
P10,디메칠트립타민,Dimethyltryptamine,향정신성의약품,,,
P09,디에칠트립타민,Diethyltryptamine,향정신성의약품,,,
P08,부포테닌,Bufotenine,향정신성의약품,,,
P07,"3,4,5-트리메톡시암페타민","3,4,5-trimethoxyamphetamine",향정신성의약품,,,
P06,"3,4-메칠렌디옥시암페타민","3,4-methylenedioxyamphetamine",향정신성의약품,,,
P05,"4-메칠-2,5-메톡시암페타민","4-Methyl-2,5-dimethoxyamphetamine",향정신성의약품,,,
P04,"3-메톡시-4,5-메칠렌디옥시암페?","3-Methoxy-4,5-methylenedioxyamphetamine",향정신성의약품,,,
P03,4-메톡시암페타민,4-Methoxyamphetamine,향정신성의약품,,,
P02,"2,5-디메톡시암페타민","2,5-Dimethoxyamphetamine",향정신성의약품,,,
P01,"4-브로모-2,5-디메톡시 암페타민","4-Bromo-2,5-dimethoxyamphetamine",향정신성의약품,,,
N99,티리딘,Tilidine,마약,,,
N98,알펜타닐,Alfentanil,마약,,,
N97,디펜옥시,Difenoxin,마약,,,
N96,드로테바놀,Drotebanol,마약,,,
N95,프로피람,Propiram,마약,,,
N94,트리메페리딘,Trimeperidine,마약,,,
N93,라세모르판,Racemorphan,마약,,,
N92,라세모라마이드,Racemoramide,마약,,,
N91,라세메소르판,Racemethorphan,마약,,,
N90,프로페리딘,Properidine,마약,,,
N89,프로햅타진,Proheptazine,마약,,,
N88,피리트라마이드,Piritramide,마약,,,
N87,피미노딘,Piminodine,마약,,,
N86,페노페리딘,Phenoperidine,마약,,,
N85,페노모르판,Phenomorphan,마약,,,
N84,페나조신,Phenazocine,마약,,,
N83,페남프로마이드,Phenampromide,마약,,,
N82,페나독손,Phenadoxone,마약,,,
N81,페치딘 제조중간체 시,Pethidine Intermediate C,마약,,,
N80,페치딘 제조중간체 비,Pethidine Intermediate B,마약,,,
N79,페치딘 제조중간체 에이,Pethidine Intermediate A,마약,,,
N78,페치딘,Pethidine,마약,"단백결합률은 65-75%이며, 간에서 대사된다. 반감기의 경우 신생아는 23시간 (12-39 시간), 성인 : 2.5-4 시간이며 간 질환이 있는 성인의 경우는 7-11 시간, Normeperidine (활성대사체) 는 15-30 시간이다.","근신경 및 골격계 쇠약, 저혈압, 오심, 구토, 변비, 피로, 졸음, 어지러움, histamine 유리, 뇨관경련, 배뇨장애, 식욕부진, 위경련, 구갈, 담도경련, 신경과민, 두통, 초조, 권태, 혼동,  호흡곤란, 단호흡, 마비성 장폐색, 의식저하, 환각, 역설적 중추신경계 흥분, 뇌압상승,  발진, 두드러기, 육체적, 정신적 의존성",
N77,노르피파논,Norpipanone,마약,,,
N76,노르메사돈,Normethadone,마약,,,
N75,노르레보르파놀,Norlevorphanol,마약,,,
N74,노라시메사돌,Noracymethadol,마약,,,
N73,모르페리딘,Morpheridine,마약,,,
N72,모라마이드 제조중간체,Moramide Intermediate,마약,,,
