약물번호,한글명,영문명,분류/구분,이화학정보,남용정보,약물정보
T12,페닐프로파놀아민,Phenylpropanolamine,기타,"생체내이용률은 거의 100%이며, 간에서 norephedrine으로 대사된다.  반감기는 4.6-6.6 시간이며 주로 미변화체로서(80-90%) 뇨를 통해 배설된다.","고혈압, 심계항진, 불면, 초조, 어지러움(dizziness), 구갈, 오심, 흉부 압박감, 서맥, 부정맥, 협심증, 중증의 두통, 불안, 신경과민, 초조,  배뇨곤란",
T11,노르슈도에페드린,Norpseudoephedrine,기타,,"신경과민, 운동항진, 불면",
T10,사이로빈 버섯,Psilocybin Mushrooms,기타,,,"이 버섯은 불법적인 마약이나 술과 함께 하거나 단독으로 할 수 있다. 버섯의 갓과 즐기는 신선한 상태나 말린 상태로 먹기도 하며 쓴맛 때문에 가루로 빻아서 캡슐에 넣어 복용하기도 한다. 차로 끓여서 사용하기도 하며 종종 다른 음식에 첨가하여 먹기도 하는데, 어떤 사용자들은 말린 이 버섯을 마리화나와 함께 담배로 피우기도 한다"
T09,날부핀,Nalbuphine,향정신성의약품,,,"염산날부핀은 앰플의 형태로 판매되고 있어 피하, 근육 및 정맥주사의 형태로 투약되는데 상용량은 70kg인 사람을 기준으로 할 때 1회 10mg을 3-6시간마다 주사하나 남용자의 경우에는 상용량의 20배를 투약하여 중추신경 억제와 환각성의 발현을 도모하고 있다."
T08,카트,Khat,기타,,,
T06,GHB,GHB,기타,,,"GHB 는 거리에서 액체나 분말 상태로 쉽게 구할 수 있고 보다 일반적으로 이용되고 있는 것은 액체상태이다. GHB를 정제와 캅셀화 하고 있다는 보고 있다. 1회분 가격은 $5~10 정도이며, 주로 분말, 캡슐 또는 물, 탄산음료, 이온음료, 술 등의 액체와 혼합하여 복용하거나 드물게 주사하기도 하며, 일회용량으로 분말 1～3g을 복용한다고 한다."
T05,카리소프로돌,Carisoprodol,향정신성의약품,,,
T04,덱스트로메토르판,Dextromethorphan,향정신성의약품,,,"정제형태로 되어 있어 경구로 남용하는데, 보통 남용자의 경우 덱스트로메토르판을 15mg함유하고 있는 정제를 30~40정 정도로 복용하며 내성이 쉽게 발현되어 상습 남용자는 100여정까지도 복용하게 된다."
T03,아편,Opium,마약,,,"헤로인과 모르핀은 주로 주사로 복용 되나 아편과 같이 흡연하기도 하고 코점막으로 흡입하기도 하는 반면, 아편은 흡연하거나 코점막을 통해 snort한다. Codeine, Oxycodone과 hydrocodone은 경구로 투여되나 다른 opioid는 주사로 투여된다."
T02,4-메칠치오암페타민,4-methylthioamphetamine,기타,,,
T01,메칠펜타닐,Methylfentanyl,기타,,,통상 정맥주사로 투여하지만 연기로 흡입하기도 한다고 한다.
P99,브롬디에칠아세칠우레아,Bromdiethylacetylurea,향정신성의약품,,,
P98,아릴이소프로필아세칠우레아,Allylisopropylacetylurea,향정신성의약품,,,
P97,펜타조신,Pentazocine,향정신성의약품,"단백결합률은 60%이며, 초회통과효과가 크고, 간에서 산화, glucuronide 포합으로 대사된다. 반감기는 2-3 시간, 간기능이 저하된 경우 연장되며, 소량은 미변화체로 뇨로 배설된다.","근신경 및 골격계 쇠약, 오심, 구토, 쾌감, 졸음, 시야몽롱, 요관경련, 저혈압, 구갈, 권태, 두통, 초조, 악몽, 피부발진, 호흡곤란, 내분비계 및 대사로 항이뇨호르몬(ADH) 분비, 눈의 축동, 심계항진, 서맥, 말초혈관확장, 위장장애, 변비, 불면, 중추신경계 억제, 진정, 환각, 혼동, 방향감 상실, 발작(경련의 소인이 있는 환자), 뇌압상승, 피부소양증, 담도경련, 요도경련, histamine 유리, 육체적, 정신적 의존성",
P96,썰폰메탄,Sulfonmethane,향정신성의약품,,,
P95,썰폰에칠메탄,Sulfonethylmethane,향정신성의약품,,,
P94,썰폰디에칠메탄,Sulfondiethylmethane,향정신성의약품,,,
P93,메치푸리론,Methyprylon,향정신성의약품,,,
P92,메프로바메이트,Meprobamate,향정신성의약품,,,
P91,리저직산 아미드,Lysergic acid amide,향정신성의약품,,,
P90,리저직산,Lysergic acid,향정신성의약품,,,
P89,구루테치미드,Glutethimide,향정신성의약품,,,
P88,크로로헥사돌,Chlorhexadol,향정신성의약품,,,
P87,치아미랄,Thiamylal,향정신성의약품,,"오심, 근육의 불수의 운동, 부정맥, 타액분비 과다, 두통, 현기증, 경련, 흥분, 기침, 딸꾹질, 발한, 안면홍조, 복시, 마비감, 쇼크",
P86,엘도랄,Eldoral,향정신성의약품,,,
P85,펜테날,Pentenal,향정신성의약품,,,
P84,시그모달,Sigmodal,향정신성의약품,,,
P83,카르부바르비탈,Carbubarbital,향정신성의약품,,,
P82,비닐비탈,Vinylbital,향정신성의약품,,,
P81,레포살,Reposal,향정신성의약품,,,
P80,이도부탈,Idobutal,향정신성의약품,,,
P79,도르모비트,Dormovit,향정신성의약품,,,
P78,디베랄,Diberal,향정신성의약품,,,
P77,바로타룸,Barotalum,향정신성의약품,,,
P76,빈바르비탈,Vinbarbital,향정신성의약품,,,
P75,치오펜탈,Thiopental,향정신성의약품,,,
P74,테트라바르비탈,Tetrabarbital,향정신성의약품,,,
P73,스피로치오바르비탈,Spirothionbarbital,향정신성의약품,,,
P72,프로필바르비탈,Propylbarbital,향정신성의약품,,,
P71,프로파리로날,Propallylonal,향정신성의약품,,,
P70,프로바르비탈,Probarbital,향정신성의약품,,,
P69,페타아비탈,Phetharbital,향정신성의약품,,,
P68,페노바르비탈,Phenobarbital,향정신성의약품,"경구투여시  70-90%가 흡수되며 단백결합률은  20-45%이다. 간에서 hydroxylation되고 glucuronide 포합되는데 반감기는 신생아가 45-500 시간,  영아가 20-133 시간, 소아가 37-73 시간, 성인이 53-140 시간이며 혈중최고농도 도달시간은  경구투여시 1-6 시간 이내이다. 20-50%가 소변으로 미변화된 형태로  배설된다.","주사부위 통증, 정맥주사시 혈전성 정맥염, 저혈압, 심부정맥, 서맥, 동맥경련, 부주의하게 동맥내 투여된 경우 괴저(gangrene) 발생, 어지러움(dizziness), 현기증(lightheadedness), 숙취
(hangover effect), 졸음, 기면, 중추신경계 흥분 또는 억제, 판단력 저하, 오심, 구토, 변비, 혼동, 의식저하, 비정상적인 흥분, 신경과민, 기절감, 두통, 불면, 악몽, 저혈압, 환각, 저체온증, 박탈성 피부염(exfoliative dermatitis), Stevens-Johnson 증후군, 피부발진, 무과립구증, 거대적아구성 빈혈, 혈소판감소증, 후두경련, 호흡저하, 무호흡 (특히 빠르게 정맥주사할 경우)",
P67,펜토바르비탈,Pentobarbital,향정신성의약품,"단백결합은 35-55%이며, 간에서 hydroxylation, oxidation으로 많은 양이 대사된다. 반감기는 소아는 25시간, 정상 성인은 25시간 (35-50 시간)이며  1% 미만이 소변으로 미변화 배설된다.","주사부위 통증, 정맥주사시 혈전성 정맥염, 심부정맥, 서맥, 저혈압, 동맥경련, 부주의하게 동맥내 투여된 경우 괴저(gangrene) 발생, 졸음, 기면, 중추신경계 흥분 또는 억제, 판단력 저하, 숙취(hangover effect), 오심, 구토, 변비, 혼동, 의식저하, 비정상적인 흥분, 신경과민, 기절감, 두통, 불면, 악몽, 저체온증, 혈전성 정맥염, 저혈압, 환각, 피부발진, 박탈성 피부염(exfoliative dermatitis), Stevens-Johnson 증후군, 무과립구증, 혈소판감소증, 거대적아구성 빈혈, 후두경련, 호흡저하, 무호흡 (특히 빠르게 정맥주사할 경우)",
P66,네알바르비탈,Nealbarbital,향정신성의약품,,,
P65,니아코바르비탈,Narcobarbital,향정신성의약품,,,
P64,메칠페노바르비탈,Methylphenobarbital,향정신성의약품,,,
P63,메토헥시탈,Methohexital,향정신성의약품,,,
P62,메타아비탈,Metharbital,향정신성의약품,,,
P61,헥소바르비탈,Hexobarbital,향정신성의약품,,,
P60,헥세탈,Hexethal,향정신성의약품,,,
P59,헵토바르비탈,Heptobarbital,향정신성의약품,,,
P58,헵타바르비탈,Heptabarbital,향정신성의약품,,,
P57,에트아로바르비탈,Ethallobarbital,향정신성의약품,,,
P56,엔아릴푸로피말,Enallylpropymal,향정신성의약품,,,
P55,싸이크로펜토바르비탈,Cyclopentobarbital,향정신성의약품,,,
P54,싸이크로바르비탈,Cyclobarbital,향정신성의약품,,,
P53,부토바르비탈,Butobarbital,향정신성의약품,,,
P52,부타리로날,Butallylonal,향정신성의약품,,,
P51,부탈비탈,Butalbital,향정신성의약품,,,
P50,섹부타바르비탈,Secbutabarbital,향정신성의약품,,,
P49,부라로바르비탈,Brallobarbital,향정신성의약품,,,
P48,바르비탈,Barbital,향정신성의약품,,,
P47,아프로바르비탈,Aprobarbital,향정신성의약품,,,
P46,아모바르비탈,Amobarbital,향정신성의약품,,"어지러움(dizziness), 현기증(lightheadedness), 숙취 (hangover effect), 졸음, 중추신경계 억제, 발열, 오심, 구토, 변비, 혼동, 의식저하, 비정상적인 흥분, 신경과민, 기절감, 두통, 불면, 악몽, 혈전성 정맥염, 저혈압, 환각, 피부발진, 박탈성 피부염(exfoliative dermatitis), Stevens-Johnson 증후군, 무과립구증, 거대적아구성 빈혈, 혈소판감소증, 호흡저하, 무호흡, 후두경련",
P45,알페날,Alphenal,향정신성의약품,,,
P44,아로바르비탈,Allobarbital,향정신성의약품,,,
P43,지페프롤,Zipeprol,향정신성의약품,"경구 투여시 신속하게 흡수되며, 1-5%만이 미변화체로 뇨를 통해 배설된다.","오심, 변비, 졸음, 어지러움(dizziness)등이 있을 수 있으며, 과량복용시는 약물남용 및 의존성이 생길 수 있다.",
P42,세코르바르비탈,Secobarbital,향정신성의약품,,,
P41,벤즈페타민,Benzphetamine,향정신성의약품,,,
P40,펜캄파민,Fencamfamin,향정신성의약품,,,
P39,엔-에칠-암페타민,N-ethylamphetamine,향정신성의약품,,,
P38,페네틸린,Fenetylline,향정신성의약품,,,
P37,엠디엠에이,MDMA,향정신성의약품,,,
P36,"2,5-디메톡시-4-에칠-암페타민","2,5-dimethoxy-4-ethylamphetamine",향정신성의약품,,,
P35,케치논,Cathinone,향정신성의약품,,,
P34,펜프로포렉스,Fenproporex,향정신성의약품,,,
P33,펜사이크리딘,Phencyclidine,향정신성의약품,,,
P32,메타콰론,Methaqualone,향정신성의약품,,,
P31,메크로콰론,Mecloqualone,향정신성의약품,,,
P30,펜메트라진,Phenmetrazine,향정신성의약품,,,
P29,메칠페니데이트,Methylphenidate,향정신성의약품,"위장관에서 서서히 흡수되나 불완전하게 흡수된다. 간에서 hydroxylation되어 ritolinic acid로 대사되며 반감기는  2-4 시간이고, 대사체 및 미변화체로 뇨로 배설되는데, 45-50%는 담즙을 통해 대변으로 배설된다.","빈맥, 식욕부진, 신경과민, 불면, 위통, 현기, 졸음, 기타  과민반응, 성장지연, 시야몽롱, 고혈압, 저혈압, 심계항진, 심부정맥,  오심, 체중 감소, 구토, 운동장애, Tourette 증후군의 악화, 발열, 두통, 경련, 피부발진, 혈소판감소증, 빈혈, 백혈구감소증",
P28,하이드록시암페타민,Hydroxyamphetamine,향정신성의약품,,,
P27,메스암페타민,Methamphetamine,향정신성의약품,,,"메스암페타민의 남용방법은 주로 정맥이나 피하주사로 투여되지만 경구, 코점막흡수, 흡연 등으로도 사용되는데, 우리나라에서는 대부분이 정맥주사에 의해 남용된다. 이 약물의 염산염 형태를 10～30mg정도 물에 녹혀 정맥 주사하는데, 심한경우는 2-3시간마다 500-1000mg을 주사하기도 한다. 경구투여하면 위장관을 통해 잘 흡수되며 신체 각 부위에 잘 분포되며, 흡연에 의해 폐로 흡수되든가 snorting에 의해 코점막으로 흡수된다. 남용자들은 암페타민의 경우는 가끔 사용하는 사람은 5～15mg을, 남용자는 매일 100～1000mg을 경구나 코점막으로 섭취한다고 한다. 최근 미국에서는 ice라는 이름으로 통용되는 (d)체의 메스암페타민을 쿠킹호일과 버너를 이용하여 흡연하는 방법으로 남용하는 것으로 알려져 있다. 
   정맥또는 흡입에의해 남용자들은 몇분동안 지속되는 아주 즐거운 상태가 되는 “rush"" 또는 ‘flush""라고 알려진 강한 감동을 경험하게 되는 반면, 경구 또는 코점막에 의해서는 기분이 좋은 안락감을 느낀다고 한다. 흡연이나 주사에 의해서는 작용이 빨라 5-10초안에 효과가 나타나며, 코점막에의해서는 3-5분, 경구투여에 의해서는 15-20분이내에 효과가 나타난다고 한다. 상용량은 10mg으로 알려져 있으나 약물 남용자들은 보통 30mg을 정맥주사 하는 것으로 알려져 있다."
P26,레브암페타민,Levamphetamine,향정신성의약품,,,
P25,덱스암페타민,Dexamphetamine,향정신성의약품,,,
P24,암페타민,Amphetamine,향정신성의약품,,,
P23,에트립타민,Etryptamine,향정신성의약품,,,
P22,메스케치논,Methcathinone,향정신성의약품,,,
P21,펜사이클리딘의 동족체,Phencyclidine analogues,향정신성의약품,,,"PCP는 담배로 피우거나 코로 흡입해 주사 또는 구강투여를 하는데 담배로 피우는 방법이 PCP의 사용자의 75%에 해당되며, 담배로 피울 때는 사용자가 2분 이내 그 효과를 느낄 수 있다.  PCP는 담배를 피우기 위해 용액에 궐련을 담궜다가 피우게 된다. PCP로 사용하던 인기 있는 궐련의 상표는 Shermans 이고, 거리에서는 Sherms, sermies or Sherm stick 불리고 있다.  액체 PCP는 뿌릴 수도 있고 적실 수도 있다. 파슬리 잎, 박화, 토바코, 마리화나 또는 다른 담배로 채울 수 있는 채소에 PCP가루를  뿌리거나 말아서 이용한다."
P20,싸이로신,Psilocin,향정신성의약품,,,
P19,싸이로시빈,Psilocybin,향정신성의약품,,,
P18,페이오트,Peyote,향정신성의약품,,,"● 섭취 
페이요트는 신선한 것이든 말린 것이든 보통 씹어서 삼켰다 1회 정상적인 양은 4개에서 12개 범위이다. 많은 사용자들은 페이요트 맛이 지독하게 쓰고 구역질이 나는 것을 알게된다. 이것을 방지하기 위해 제라틴 캡슐에 넣는다. 페이요트를 끓여서 농도가 짙고 까만차로 만든다. 드물게는 가루로 만들어 마리화나 또는 다른 식물과 함께 담배로 피운다."
P17,파라헥실,Parahexyl,향정신성의약품,,,
P169,크라톰,Kratom,향정신성의약품,,,
P168,2C-B,2C-B,향정신성의약품,,,
P167,디메칠암페타민,Dimethylamphetamine,,,,
P166,케타민,Ketamine,향정신성의약품,,,"케타민은 수술을 하기위한 마취제이고 정맥주사를 하도록 제조 되고 있다. 정맥주사를 하면 신속히 마취가 되고 30초 의식이 없게 된다. 대부분의 케타민 남용자는 근육주사,코로 흡입 하거나 ,구강투여를 하고 있다. 코로 흡입 또는 구강 소비를 하기위해 액체를 끓여서 분말로 만든다.  
  분말을 코카인 과같이 코로 흡입하거나 물에 타서 마신다. 코로 흡입하거나 마신 경우에는 효과가 5-10분내에 시작된다.근육주사를 하는 경우에는 2-5분 내에 느낀다."
P165,메소카브,Mesocarb,향정신성의약품,,,
P164,아미노렉스,Aminorex,향정신성의약품,,,
P163,졸피뎀,Zolpidem,향정신성의약품,"단백결합률은 92%정도이고, 간에서 비활성형 대사체로 대사된다. 반감기는 2-2.6 시간이며 뇨료 배설된다.","근육통, 오심, 설사, 두통, 졸음, 어지러움, 진전, 구토, 건망증, 혼동",
P162,멕사졸람,Mexazolam,향정신성의약품,"체내 반감기는 약 23시간 정도이며, 혈중최고농도 도달시간는 경구투여시 약 1시간정도이다.","졸음, 간의 GOT/GPT 및 alkaline phosphatase 상승, 근긴장 저하, 성욕 감퇴, 기립성 저혈압, 저혈압, 구갈, 오심, 구토, 식욕부진, 위부 불쾌감, 위트림, 위통, 복통, 설사, 현기증, 균형감 상실, 두통, 두중감, 건망증, 섬망, 운동실조, 비정상적 꿈, 권태, 피부발진, 백혈구감소증, 적혈구감소증, 혈색소량 감소",
P161,플루토프라제팜,Flutoprazepam,향정신성의약품,,,
P160,조피클론,Zopiclone,향정신성의약품,"생체내이용률은 80%정도이며, 단백결합률은 45%정도이다. 많은 양이 간에서 대사되며 탈탄산화가 주 대사경로 (약 50%)이고, N-oxide (활성형), N-desmethyl 대사체 (비활성형) 및 기타 비활성형 대사체로 대사된다. 반감기는 미변화체, 활성형 대사체가 약 4-6 시간 이며 혈중최고농도 도달시간은 1-1.5 시간이다.","쓴 맛, 진전, 구갈, 졸음, 두통, 어지러움, 초조, 피로, 악몽, 숙취 효과, 오심, 구토, 상복부 통증, 설사, 변비, 건망증, 육체적 의존성",
P16,엔-메칠-3-피레리딜 벤질레이트,N-methyl-3-piperidylbenzilate,향정신성의약품,,,
P159,트리아졸람,Triazolam,향정신성의약품,"단백결합률은 89%정도 이고, 반감기는 1.7-5 시간이며 미대사체와 대사체로 신배설된다.","구음장애(dysarthria), 성욕 감소, 시야몽롱, 빈맥, 흉통, 구갈, 타액분비 감소, 변비, 오심, 구토, 설사, 식욕 증가나 감소, 졸음, 피로, 협조 장애(impaired coordination), 현기증, 기억 장애, 불면, 불안, 우울, 두통, 피부발진, 발한",
P158,테트라제팜,Tetrazepam,향정신성의약품,,,
P157,테마제팜,Temazepam,향정신성의약품,,"불면증, 근심, 공항, 식욕 감퇴, 메스꺼움, 떨림, 그리고 때때로 환각을 포함한 금단 증상들이 나타난다.",
P156,피로발레론,Pyrovalerone,향정신성의약품,,,
P155,피리칠디온,Pyrithyldione,향정신성의약품,,,
P154,프로필헥세드린,Propylhexedrine,향정신성의약품,,,
P153,프라제팜,Prazepam,향정신성의약품,,,
P152,피프라드롤(알파 또는 감마),Pipradol,향정신성의약품,,,
P151,피나제팜,Pinazepam,향정신성의약품,"체내에서 desmethyldiazepam으로 대사되며, 반감기는 약 12시간 정도이다.","이명, 복시, 시야몽롱, 심계항진, 오심, 구토, 설사, 변비, 식욕부진, 구갈, 위부 불쾌감, 팽만감, 복부통, 가슴앓이, 졸음, 어지러움, 비틀거림, 두중감, 두통, 두부 압박감, 불면, 보행실조, 권태감, 탈력감, 소양감, 발진",
P150,펜터민,Phentermine,향정신성의약품,,"부작용으로는 입의 마름, 불면증, 흥분, 위경련, 변비가 약에 대해 몸이 조절하기 위해 우선 며칠동안 발생한다. 만약 이런 효과가 지속될 수 있다.",
P15,메스카린,Mescaline,향정신성의약품,,,페이요트는 신선한 것이든 말린 것이든 보통 씹어서 삼켰다 1회 정상적인 양은 4개에서 12개 범위이다. 많은 사용자들은 페이요트 맛이 지독하게 쓰고 구역질이 나는 것을 알게된다. 이것을 방지하기 위해 제라틴 캡슐에 넣는다. 페이요트를 끓여서 농도가 짙고 까만차로 만든다. 드물게는 가루로 만들어 마리화나 또는 다른 식물과 함께 담배로 피운다.
P149,펜티메트라진,Phendimetrazine,향정신성의약품,,"펜디메트라진 과용시 증상은 불안감, 떨림, 빠른 호흡, 환각, 혼동, 공포, 메스꺼움, 구토, 불규칙한 심장박동, 발작을 일으키게 된다.",
P148,페트리클로랄,Petrichloral,향정신성의약품,,,
P147,페몰린,Pemoline,향정신성의약품,,,
P146,파르알데히드,Paraldehyde,향정신성의약품,,,
P145,옥시퍼어틴,Oxypertine,향정신성의약품,,,
P144,옥사졸람,Oxazolam,향정신성의약품,,,
P143,옥사제팜,Oxazepam,향정신성의약품,,,
P142,놀라제팜(데메칠다이제팜),Nordazepam,향정신성의약품,"단백결합률은 약 97%정도이며 간에서 oxazepam으로 가수분해된다. 반감기는 2-5일정도이며, 혈중최고농도 도달시간은 약 90분이고,  대부분 대사체로서 신배설된다.","황달, 성욕 변화, 뇨저류, 실금, 빈맥, 저혈압, 오심, 구토, 식욕부진, 변비, 구갈, 타액분비 변화, 졸음, 협조 장애, 현기증, 운동실조, 보행실조, 피로, 두통, 언어장애, 권태, 탈력감, 피부발진, 호흡 억제, 부종, 진전, 시야몽롱, 복시, 안구진탕증, 실신, 혼동, 우울, 쾌감, 백혈구감소증, 호중구감소증",
P141,니트라제팜,Nitrazepam,향정신성의약품,,,
P140,니메타제팜,Nimetazepam,향정신성의약품,,,
P14,엘 에스 디 / 엘 에스디-25,LSD / LSD-25,향정신성의약품,,,LSD는 통상 압지의 사각형 조각을 혀 위에 올려놓아 섭취하는데 침에 의해서 용해되어 점막을 통해 흡수된다. 이 방법이 가장 빠른 효과를 나타낸다. LSD는 음식과 섞어서 함께 복용하거나 정제나 각설탕에 덧붙여서 복용하며 위에서 흡수된다. 또한 LSD는 피부를 통해서 직접 흡수되기도 하나 LSD는 고열에 파괴되고 담배로 피워서 복용할 수는 없다.
P139,미다졸람,Midazolam,향정신성의약품,"단백결합률은 95%정도이며 생체내이용률은 평균 45%정도이다. 반감기는 1-4 시간정도이고, Glucuronide 포합체로 신배설된다.","주사부위의 통증 및 국소 반응 (diazepam보다는 약하다.), 딸꾹질, 시야몽롱, 복시(diplopia), 심장마비, 저혈압, 서맥, 오심, 구토, 졸음, 운동실조, 건망증, 현기증(dizziness), 역설적인 흥분, 분노, 진정, 두통, 호흡 억제, 무호흡, 후두 경련, 기관지 경련, 장기간 사용하는 경우 신체적, 정신적 의존성, 빈맥, 섬망(delirium), 피부염, 천명",
P138,메페노렉스,Mefenorex,향정신성의약품,,,
P137,메다제팜,Medazepam,향정신성의약품,,,
P136,마진돌,Mazindol,향정신성의약품,,,
P135,로르메타제팜,Lormetazepam,향정신성의약품,,,
P134,로라제팜,Lorazepam,향정신성의약품,"단백결합률은 85%이며 간에서 비활성체로 대사된다. 반감기는 신생아가 40.2 시간, 소아가 10.5 시간, 성인이 12.9 시간, 노인이 15.9 시간정도이며 대부분이 뇨로 배설된다.","정맥염, 주사부위의 통증, 협조 장애(impaired coordination), 구음장애(dysarthria), 성욕 감소, 시야몽롱, 복시(diplopia), 빈맥, 흉통, 구갈, 변비, 설사, 오심, 구토, 식욕 증가나 감소, 타액분비감소, 졸음, 혼동, 운동실조, 건망증, 언어장애(slurredspeech), 역설적인 흥분, 분노, 두통, 우울, 불안, 피로, 현기증(lightheadedness), 불면, 피부발진, 발한",
P133,로프라졸람,Loprazolam,향정신성의약품,,,
P132,레페타민,Lefetamine,향정신성의약품,,,
P131,케타졸람,Ketazolam,향정신성의약품,,,
P130,할록사졸람,Haloxazolam,향정신성의약품,,,
P13,이보게인,Ibogaine,향정신성의약품,,,
P129,할라제팜,Halazepam,향정신성의약품,,,
P128,플루라제팜,Flurazepam,향정신성의약품,"간에서 활성체인 N-desalkylflurazepam으로 대사 되는데, 체내 반감기는 40-114 시간 정도이다.","구음장애(dysarthria), 성욕 감소, 시야몽롱, 빈맥, 흉통, 구갈, 변비, 타액분비 감소, 오심, 구토, 설사, 식욕 증가나 감소, 졸음, 피로, 협조 장애(impaired coordination), 현기증, 기억 장애, 불면, 불안, 우울, 두통, 피부발진, 발한",
P127,플루디아제팜,Fludiazepam,향정신성의약품,,,
P126,펜플루라민,Fenfluramine,향정신성의약품,,,
P125,에티졸람,Etizolam,향정신성의약품,"유즙으로 소량 분비되며 반감기는 6시간정도이고, 혈중최고농도 도달시간은 경구투여시 약 3시간이다.  약 54%가 신배설된다.","졸음, 현기증, 신체 협조의 장애, 근육 이완, 배뇨장애, 심계항진, 기립성 저혈압, 구갈, 오심, 구토, 식욕부진, 변비, 설사, 보행실조, 두통, 두중감, 언어장애, 불면, 명정감, 권태, 탈력감, 피부발진, 담마진, 호흡곤란, 발한, 간의 GOT/GPT 상승, 진전, 시야몽롱, 조절 장해, 흥분, 초조, 코막힘, 부종",
P124,에칠로프라제페이트,Ethyl Loflazepate,향정신성의약품,"반감기는 122시간이고 혈중최고농도 도달시간은 1.2 시간이며, 14일 이내에는 투여량의 50%가 뇨로 배설됨","시야몽롱, 졸음, 기상 곤란, 현기증, 균형감 상실, 두통, 언어장애, 마비감, 간의 GOT/GPT 상승, 근육 이완, 성욕 감퇴, 복통, 식욕부진, 오심, 변비, 구갈, 권태, 피로, 탈력감, 피부발진, 소양증, 백혈구감소증, 호산구증가증, urobilinogen 증가, 이명, 복시, 잔뇨감, 빈뇨, 구음장애, 미각이상, 위통, 심와부통, 가슴앓이, 설사, 구내염, 불면, 초조, 불쾌감, 피부발적, 코곯이, 냉감",
P123,에치나메이트,Ethinamate,향정신성의약품,,,
P122,에스크로비놀,Ethchlorvynol,향정신성의약품,,,
P121,에스타졸람,Estazolam,향정신성의약품,,"구음장애(dysarthria), 성욕 감소, 시야몽롱, 빈맥, 흉통, 구갈, 변비, 타액분비 감소, 오심, 구토, 설사, 식욕 증가나 감소, 졸음, 피로, 협조 장애(impaired coordination), 현기증, 기억 장애, 불면, 불안, 우울, 두통, 피부발진, 발한",
